id, nome, idade, expprofissional, genero, primeiraGraduacao, perfil
1,Julia,21,12,feminino,true,SJ
2,Murilo,40,6,masculino,false,NT
3,Rafaela,45,12,feminino,true,NF
4,Joao,18,6,masculino,false,SP
5,Tulio,25,12,masculino,true,SJ
6,Victor,18,6,masculino,false,NT
7,Jamilla,22,12,feminino,true,NT
8,Ricardo,28,6,masculino,false,SP
9,Erica,24,12,feminino,true,SJ
10,Emilia,28,6,feminino,false,NF
11,Dandara,50,12,feminino,true,SJ
12,Pedro,32,6,masculino,false,NF
13,Luiz,55,12,masculino,true,SP
14,Marcela,19,6,feminino,false,NF
15,Ana,20,12,feminino,true,NT
